icao,name,lon,lat,type,municipality
SJV1,Fazenda Vale Verde I Airstrip,-47.108781,-16.542042,small_airport,Unaí
SJV2,Fazenda Recanto do Lago Airstrip,-51.580833,-15.193333,small_airport,Jussara
SJV3,Fazenda Princezinha Airport,-56.842500,-21.098889,small_airport,Bonito
SJV4,Sítio Ambrozina Airstrip,-60.826667,3.030000,small_airport,Boa Vista
SJV7,Condomínio Pôr do Sol Airstrip,-55.386111,-11.400833,small_airport,Cláudia
SJV8,Hangar Du Fanta Airstrip,-60.592500,2.783611,small_airport,Cantá
SJV9,Geraldo Alonso Filho Airport,-43.205556,-11.190278,small_airport,Barra
SJVA,DJY Heliport,-46.685405,-23.597377,heliport,São Paulo
SJVD,Fazenda Nazaré Airport,-45.248167,-17.848373,small_airport,Buritizeiro
SJVE,VR Campos do Jordão Heliport,-45.544167,-22.743334,heliport,Campos Do Jordão
SJVH,Condomínio Edifício Mansão Macedo Heliport,-38.501288,-3.729614,closed,Fortaleza
SJVI,Zona 01 Heliport,-48.591967,-27.142204,heliport,Itapema
SJVJ,Chácara da Capela Heliport,-47.709308,-23.126099,heliport,Tietê
